name,comments,pr,issues,handle_issue
cauemarcondes,0,2,2,0
astik,0,1,1,0
durancu,0,0,1,0
soumilshah1995,0,0,1,0
jureaky,0,3,4,0
yselkowitz,0,1,1,0
nk111,0,0,1,0
jetnet,0,0,2,0
AdamCanady,0,1,1,0
vb-dave,0,0,1,0
larry-hernandez,0,0,1,0
jepert,0,0,1,0
bcbrockway,0,0,1,0
garfberg,0,0,1,0
AngelaFabregues,0,1,1,0
aliciascott,0,0,1,0
OrangeDog,1,0,4,0
albertored,0,0,1,0
GeorgeAp,0,0,1,0
jordan-lewis,0,0,1,0
bh9,0,0,1,0
felix-lessoer,0,0,1,0
longvd89,0,0,1,0
gtback,0,1,1,0
awzhgw,0,0,1,0
dominikriemer,0,1,1,0
nikhil-bhat,0,0,3,0
achang77,0,0,1,0
raphaelchampeimont,0,0,1,0
sgreszcz,0,0,2,0
tc027,0,0,1,0
antondollmaier,0,1,1,0
gemaliano,0,0,8,0
PereBal,0,0,3,0
boat320,0,0,1,0
fretboarder,0,0,1,0
CleWang,0,0,1,0
rhymes,0,1,1,0
hirakida,0,1,1,0
rm2k,0,0,1,0
lakechat,0,0,1,0
filipmnowak,0,1,1,0
dgieselaar,4,1,1,1
kobelb,8,5,12,1
matiasponce,0,0,1,0
Sharptsa,0,0,1,0
joshdevins,6,2,6,2
colings86,1935,359,549,460
nattachai305,0,2,2,0
hirampeng,0,0,1,0
tobio,0,0,1,0
bobbyi,0,0,3,0
dvisztempacct,0,0,2,0
AmirSedrak,0,0,1,0
marcoserrato,0,0,1,0
harshahst,0,0,1,0
Roberdvs,0,0,1,0
vinaychila,0,0,1,0
consulthys,26,4,19,0
glascaleia,0,0,2,0
sachinfrayne,0,5,10,0
pickypg,406,69,220,39
wylieconlon,0,0,2,0
nickcanz,2,2,3,0
chenzx,0,0,2,0
zhanghezhen,2,4,4,0
hubiao1,0,0,5,0
Bukhtawar,28,8,25,0
shaheerakr,0,1,1,0
lekrus,0,0,1,0
Joseph-R,0,0,1,0
henryptung,0,1,3,0
anmol27katyani,0,0,1,0
ErikvanDuren,0,0,1,0
cdy668,0,0,1,0
wangkhc,0,5,9,0
davidbkemp,1,2,8,0
seanstory,0,2,2,0
richiejarvis,1,3,5,2
minfrin,0,0,12,0
jackielii,0,0,1,0
nrichers,1,7,7,0
zuketo,19,0,2,0
cdalexndr,0,0,4,0
monfera,1,0,2,0
t-ming,0,1,1,0
manasatmicro,0,0,1,0
sanyalpp,0,0,1,0
itizir,0,0,1,0
leonardbinet,0,0,1,0
anas-a7,0,1,1,0
pbvahlst,0,0,7,0
rursprung,0,1,1,0
kertal,0,0,3,0
dweiss,17,10,15,0
jmceniery,0,2,3,0
shirleysela,0,0,1,0
zhangt2333,0,1,1,0
GabrielFortin,0,1,1,0
Kiran-G1,0,0,1,0
andreiniculescu86,0,0,1,0
BobBlank12,0,2,2,0
ivister,0,0,1,0
XavierRamosORGADATA,0,0,1,0
bczifra,0,0,13,0
lsamper,0,0,1,0
jdcohen220,0,0,1,0
michael-robbins,0,0,1,0
PARKJUHONG123,0,0,1,0
NickAnderegg,0,0,1,0
viglia,0,0,1,0
zhichen,9,1,4,0
erayarslan,5,2,4,0
AnthuDuke,0,0,1,0
hellosweetmain1,0,0,1,0
chshawkn,0,0,1,0
daveisfera,0,0,1,0
OriGlassman,0,1,1,0
utsushiiro,0,0,1,0
tinawenqiao,0,0,1,0
tilan7663,0,1,2,0
luizgpsantos,1,4,7,0
Raidok,0,1,1,0
carlcasbolt,0,1,1,0
tamilveeran,0,0,1,0
crickes,0,0,1,0
inqueue,1,3,39,0
vgoncharenko,1,1,1,0
Mekk,0,0,4,0
asdf2014,0,3,3,0
Hearen,0,6,7,0
n0othing,0,1,26,0
naturalgeek,0,0,1,0
jackpf,0,0,1,0
pkartikk,0,0,1,0
simitt,0,0,2,0
abia321,0,1,1,0
timoninmaxim,11,4,4,0
junmuz,0,1,2,0
nelyanne-v,0,0,1,0
axw,0,0,2,0
gbanasiak,0,1,2,0
f3l1xss,0,0,1,0
jowiho,0,1,2,0
sandeepkanabar,0,7,8,0
ehasrouni,0,1,1,0
straestrae,0,0,1,0
racevedoo,0,9,9,0
apiszcz,0,0,1,0
feifeiiiiiiiiiii,1,1,8,0
peterpramb,0,0,14,0
garyelephant,6,1,4,0
jeffvestal,0,0,1,0
sebelga,0,1,9,0
stiltz,0,2,3,1
taoyantu,0,0,1,0
NoorKhan,0,1,1,0
praveenkutty,0,0,1,0
ajoliveira,0,0,3,0
gbarba,0,0,1,0
muffl0n,0,1,2,0
cgstevens,0,0,1,0
jacek99,0,0,1,0
soullivaneuh,0,0,1,0
LuckyLukas,0,0,2,0
ashwani2797,0,0,1,0
savaliyagautam,0,1,1,0
matschaffer,0,0,3,0
johbar,0,0,1,0
niemyjski,14,1,31,0
elasticforme,0,0,1,0
JohannesMahne,0,0,2,0
acondrat,0,0,1,0
atefeh99,0,0,1,0
D-shaw,0,0,1,0
nfsec,0,3,5,0
jiyer2016,0,0,1,0
faxm0dem,51,0,12,0
lanwin,0,0,1,0
pheyos,0,0,13,0
jonasfh,0,1,1,0
cpmoore,0,0,5,0
ialisyed,0,0,1,0
h0lzi,0,0,1,0
Fylhtq42,0,0,1,0
pcsanwald,63,39,48,11
twjs76,0,0,1,0
clakech,0,0,1,0
jkelastic,0,0,4,0
gsmet,0,0,2,0
Jens-H-Eriksen,0,0,1,0
a6697238,0,2,2,0
nirmalc,30,13,17,0
rkalluri-clgx,0,0,1,0
dpickett,0,1,1,0
FLasH3r,0,0,1,0
yjlmzh,0,0,1,0
605kiya,0,1,1,0
rnardo,0,0,1,0
tugberkugurlu,7,2,2,0
eedugon,1,3,5,0
GijsGoudzwaard,1,0,1,0
wuyudian1,0,0,1,0
ceeeekay,0,0,2,0
