,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
241,Kouhei Sutou,1,1,1,0,1,,,,
242,Christoph Frick,1,1,1,0,1,,,,
243,Xiao Yu,3,104,32,0,5,,,,
244,Uwe Schindler,76,2249,1885,9,278,,,,
245,Samuel Molinari,1,1,1,0,1,,,,
246,mikemccand,312,38068,39100,43,1951,845.0,138.0,222.0,168.0
247,Benoss,1,5,5,0,1,1.0,1.0,1.0,0.0
248,Uwe Dauernheim,1,1,1,0,1,,,,
249,Robert Muir,972,85700,73882,133,7222,,,,
250,Mansur Ashraf,1,3,0,0,1,,,,
251,Alex Ksikes,80,15833,7248,16,524,,,,
252,Audrey,2,4,4,0,2,,,,
253,Igal,2,2,2,0,2,,,,
254,Ali Bozorgkhan,1,1,1,0,1,,,,
255,Matthieu Bacconnier,1,1,1,0,1,,,,
256,Keiji Yoshida,1,1,1,0,1,,,,
257,Ìï´«Îä,1,3,0,0,1,,,,
258,violuke,3,3,3,0,3,1.0,3.0,3.0,0.0
259,cccabot,1,4,4,0,1,0.0,1.0,1.0,0.0
260,Alex Marandon,1,25,3,0,2,,,,
261,Rashid Khan,1,2,2,0,1,,,,
262,Tiago Alves Macambira,2,3,4,1,2,,,,
263,matdere,1,7,2,0,1,,,,
264,Mahesh Paolini-Subramanya,2,2,2,0,2,,,,
265,ericheiker,1,2,2,0,1,1.0,1.0,1.0,0.0
266,Gaurav Arora,2,2,2,1,2,,,,
267,Colin Goodheart-Smithe,171,41049,10682,25,1198,,,,
268,mateusz_kaczynski,1,85,14,0,5,,,,
269,Mathias Fussenegger,7,138,35,1,17,,,,
270,Wilkes Joiner,1,102,6,0,5,,,,
271,salyh,3,9,3,0,3,11.0,10.0,19.0,0.0
272,leonardo menezes,1,3,11,0,1,,,,
273,Steve Fuller,2,2,2,2,2,,,,
274,Patrik Ragnarsson,1,1,1,0,1,,,,
275,stephlag,5,9,9,0,6,5.0,6.0,6.0,0.0
276,darkwarriors,1,4,4,1,1,3.0,1.0,1.0,0.0
277,Rob Young,1,1,1,0,1,,,,
278,Israel Tsadok,3,10,4,0,3,,,,
279,Philip Stevens,1,7,7,0,1,,,,
280,Christian Wolfe,1,31,31,0,9,,,,
281,gseng,2,3,3,0,2,9.0,2.0,4.0,0.0
282,Jad Naous,1,3,3,0,1,,,,
283,Yervand Aghababyan,1,2,3,0,1,,,,
284,Evgeniy Sokovikov,1,1,1,0,1,,,,
285,fransflippo,1,4,4,0,1,5.0,1.0,1.0,0.0
286,Matthew L Daniel,2,38,14,0,3,,,,
287,Luke Fender,1,1,1,0,1,,,,
288,shadow000fire,1,3,1,0,1,9.0,1.0,7.0,0.0
289,Daniel Winterstein,1,1,1,0,1,,,,
290,Matt Janssen,1,2,2,0,1,,,,
291,Chris,1,1,1,0,1,,,,
292,Fitblip,1,165,4,1,6,24.0,1.0,2.0,0.0
293,Phil Wills,1,4,2,0,1,,,,
294,Peter Burkholder,1,6,1,0,1,,,,
295,mahdeto,1,10,0,0,1,10.0,3.0,5.0,0.0
296,Florian Hopf,8,12,9,0,9,,,,
297,Duncan Angus Wilkie,1,1,1,1,1,,,,
298,Ian Babrou,1,42,42,0,1,,,,
299,jnguyenx,1,1,1,0,1,1.0,1.0,1.0,0.0
300,hanneskaeufler,1,1,1,0,1,2.0,1.0,1.0,0.0
301,Mikhail Korobov,2,20,11,1,2,,,,
302,Shikhar Bhushan,1,3,0,0,1,,,,
303,Shinsuke Sugaya,1,2,0,0,1,,,,
304,Carsten Brandt,2,2,2,1,2,,,,
305,Andrii Gakhov,1,1,1,0,1,,,,
306,Nick Steele,1,1,1,0,1,,,,
307,Naoki Orii,1,3,3,0,1,,,,
308,Areek Zillur,457,62950,39819,77,2781,,,,
309,Iulia Pasov,2,2,1,1,2,,,,
310,Roman Sanchez,1,3,0,0,1,,,,
311,Valdis Rigdon,1,1,2,0,1,,,,
312,Areek Zillur,1,0,0,1,0,,,,
313,Guillaume Nodet,1,46,38,0,1,,,,
314,Brian Murphy,252,33225,9600,23,1388,,,,
315,Patrick Peschlow,5,532,10,3,9,,,,
316,Ryan Ernst,1944,132003,192981,198,26763,,,,
317,matt-preston,1,27,3,0,1,3.0,2.0,4.0,0.0
318,Peter Kim,1,2,2,0,1,,,,
319,Medcl,1,3,0,0,1,,,,
320,Peter Johnson @insertcoffee,3,4,5,0,3,,,,
321,babeya,1,2,2,0,1,0.0,1.0,1.0,0.0
322,rendel,1,1,0,0,1,3.0,1.0,3.0,0.0
323,Justin Honold,1,1,1,0,1,,,,
324,Brian Altenhofel,1,2,2,0,1,,,,
325,Greg Marzouka,34,619,135,3,37,,,,
326,Kurt Hurtado,1,1,1,0,1,,,,
327,Stefan Antoni,1,1,1,1,1,,,,
328,Skye Book,1,1,1,1,1,,,,
329,bitsofinfo,1,90,1,0,6,3.0,0.0,1.0,0.0
330,Simon (Big Chief) Morley,5,280,21,1,12,,,,
331,baldurh,1,1,1,0,1,0.0,1.0,1.0,0.0
332,olivier bourgain,10,115,94,3,14,,,,
333,Thomas Peuss,1,56,5,0,2,,,,
334,Gheorghita Catalin Bordianu,1,1,1,0,1,,,,
335,Chris Allen,1,6,0,0,1,,,,
336,Mark Walkom,2,91,45,0,2,,,,
337,Akshay Kapoor,1,1,1,0,1,,,,
338,Krishna Raj,2,4,2,0,2,,,,
339,Phil Freo,1,1,1,0,1,,,,
340,rdpatil4,1,3,0,0,1,3.0,1.0,1.0,0.0
341,Mpampis Kostas,2,2,2,0,2,,,,
342,c-a-m,42,6442,2225,8,284,6.0,0.0,4.0,0.0
343,Cristiano Fontes,3,147,63,0,13,,,,
344,londocr,1,2,1,0,1,0.0,1.0,1.0,0.0
345,Philip Wills,1,19,16,0,15,,,,
346,Michael Brackx,1,19,5,0,3,,,,
347,Renaud AUBIN,1,1,1,0,1,,,,
348,mdalton,1,1,1,0,1,,,,
349,Jon Dokulil,1,22,0,0,1,,,,
350,shrinidhichaudhari,1,1,1,0,1,1.0,1.0,1.0,0.0
351,Dominik Surowiecki,1,2,2,0,1,,,,
352,pachanta,1,11,2,0,1,3.0,1.0,1.0,0.0
353,Tanvir Alam,1,1,1,1,1,,,,
354,Joao Duarte,2,5,6,0,2,,,,
355,ansj,1,1,0,0,1,,,,
356,Ulrich Reffle,2,3,1,0,2,,,,
357,Philipp Jardas,1,1,1,0,1,,,,
358,Jordan Snodgrass,1,2,0,0,1,,,,
359,Zachary Wasserman,1,3,3,0,1,,,,
360,nandakishore15,1,2,2,0,1,1.0,1.0,1.0,0.0
361,corochoone,2,3,4,0,2,0.0,2.0,2.0,0.0
362,Sergii Golubev,9,23,19,3,9,,,,
363,mdzor,2,5,4,0,2,1.0,2.0,2.0,0.0
364,Thom Dixon,1,1,1,0,1,,,,
365,Christian Verkerk,2,9,7,0,2,,,,
366,HenrikOssipoff,1,1,1,0,1,5.0,1.0,4.0,0.0
367,Jake Buob,2,2,2,0,2,,,,
368,Paul Pearcy,1,1,1,0,1,,,,
369,Suyog Rao,3,4,4,0,4,,,,
370,Paul Echeverri,24,24,16,1,2,,,,
371,tlrx,883,150731,73287,83,7727,2536.0,604.0,689.0,194.0
372,Karel Minarik,12,12815,8665,3,304,,,,
373,Hang Su,1,1,1,1,1,,,,
374,sp836490,1,2,2,0,1,1.0,1.0,1.0,0.0
375,Henrik Nordvik,2,4,3,0,2,,,,
376,Chris Earle,20,634,242,0,37,,,,
377,Erik Ringsmuth,1,1,1,0,1,,,,
378,Derek Haynes,1,2,0,0,1,,,,
379,Son,1,9,12,0,3,,,,
380,Josh Kuhn,1,1,0,0,1,,,,
381,John Michael Luy,4,5,5,0,4,,,,
382,wmx3ng,1,2,1,0,1,0.0,1.0,1.0,0.0
383,Lukasz Dywicki,1,2,2,1,1,,,,
384,Ryan Grimm,1,2,2,0,1,,,,
385,Ayumi Yu,1,1,1,1,1,,,,
386,Erik Wyatt,1,3,1,0,1,,,,
387,Mark J Greene,1,3,6,0,1,,,,
388,Reuben Sutton,5,90,232,0,17,,,,
389,Andrei Kolosok,2,2,2,0,2,,,,
390,Brian Kim,1,5,5,1,1,,,,
391,Ron DuPlain,1,1,0,0,1,,,,
392,Randy D. Wallace Jr,1,1,0,0,1,,,,
393,Marcin Mikosik,1,1,1,1,1,,,,
394,Nirmal Chidambaram,2,87,21,1,8,,,,
395,Dmitriy Khvatov,1,1,1,0,1,,,,
396,Bruno Reni¨¦,3,67,34,0,12,,,,
397,J¨¦r¨¦my Lecour,1,1,1,0,1,,,,
